18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Methylpiperidine	<font size=5>\nMethylpiperidine\n</font><br>\n哌可啉\n
Methyl Red	<font size=5>\nMethyl Red\n</font><br>\n甲基红\n
Methyl Rubber	<font size=5>\nMethyl Rubber\n</font><br>\n甲基橡胶\n
Methyl Salicylate	<font size=5>\nMethyl Salicylate\n</font><br>\n水杨酸甲酯\n
Methyl Stearate	<font size=5>\nMethyl Stearate\n</font><br>\n硬脂酸甲酯\n
Methyl Vinyl Ether	<font size=5>\nMethyl Vinyl Ether\n</font><br>\n甲基乙烯基醚\n
Methyl Vinyl Ketone	<font size=5>\nMethyl Vinyl Ketone\n</font><br>\n甲基乙烯基酮\n
Methyl Violet	<font size=5>\nMethyl Violet\n</font><br>\n甲基紫\n
Metol	<font size=5>\nMetol\n</font><br>\n米吐尔\n
Metribuzin	<font size=5>\nMetribuzin\n</font><br>\n赛克津\n
Mezcaline	<font size=5>\nMezcaline\n</font><br>\n墨斯卡灵\n
Mica	<font size=5>\nMica\n</font><br>\n云母\n
Mica Capacitor	<font size=5>\nMica Capacitor\n</font><br>\n云母电容器\n
Micaceous Hematite	<font size=5>\nMicaceous Hematite\n</font><br>\n云母赤铁矿\n
Micaceous Iron Ore	<font size=5>\nMicaceous Iron Ore\n</font><br>\n云母赤铁矿\n
Mica Condenser	<font size=5>\nMica Condenser\n</font><br>\n云母电容器\n
Mica Plate	<font size=5>\nMica Plate\n</font><br>\n云母板\n
Mica Schist	<font size=5>\nMica Schist\n</font><br>\n云母片岩\n
Micellar Space	<font size=5>\nMicellar Space\n</font><br>\n胶束空间\n
Micelle	<font size=5>\nMicelle\n</font><br>\n胶团\n
Micell Formation	<font size=5>\nMicell Formation\n</font><br>\n胶束形成\n
Micell Weight	<font size=5>\nMicell Weight\n</font><br>\n胶束量\n
Michael Reaction	<font size=5>\nMichael Reaction\n</font><br>\n迈克尔反应\n
Microanalysis	<font size=5>\nMicroanalysis\n</font><br>\n微量分析\n
Microanalytical Reagent	<font size=5>\nMicroanalytical Reagent\n</font><br>\n微量分析试剂\n
Microanalyzer	<font size=5>\nMicroanalyzer\n</font><br>\n微量分析器\n
Microbalance	<font size=5>\nMicrobalance\n</font><br>\n微量天平\n
Microbattery	<font size=5>\nMicrobattery\n</font><br>\n微电池\n
Microbe	<font size=5>\nMicrobe\n</font><br>\n微生物\n
Microbicide	<font size=5>\nMicrobicide\n</font><br>\n杀菌剂\n
Microbioassay	<font size=5>\nMicrobioassay\n</font><br>\n微生物学测定法\n
Microbiological Assay	<font size=5>\nMicrobiological Assay\n</font><br>\n微生物学测定法\n
Microbiological Corrosion	<font size=5>\nMicrobiological Corrosion\n</font><br>\n微生物腐蚀\n
Microburet	<font size=5>\nMicroburet\n</font><br>\n微量滴定管\n
Microburner	<font size=5>\nMicroburner\n</font><br>\n微灯\n
Microcapsule	<font size=5>\nMicrocapsule\n</font><br>\n微胶囊\n
Microchemistry	<font size=5>\nMicrochemistry\n</font><br>\n微量化学\n
Microcoacervation	<font size=5>\nMicrocoacervation\n</font><br>\n微凝聚\n
Microcolorimeter	<font size=5>\nMicrocolorimeter\n</font><br>\n做量比色计\n
Microcomponent	<font size=5>\nMicrocomponent\n</font><br>\n微量组分\n
Microcorrosion	<font size=5>\nMicrocorrosion\n</font><br>\n微腐蚀\n
Microcosmic Salt	<font size=5>\nMicrocosmic Salt\n</font><br>\n磷盐\n
Microcrystal	<font size=5>\nMicrocrystal\n</font><br>\n微晶\n
Microcrystalline Structure	<font size=5>\nMicrocrystalline Structure\n</font><br>\n微晶结构\n
Microelectrode	<font size=5>\nMicroelectrode\n</font><br>\n微电极\n
Microelectrolysis	<font size=5>\nMicroelectrolysis\n</font><br>\n微量电解\n
Microelement	<font size=5>\nMicroelement\n</font><br>\n微量元素\n
Microfilter	<font size=5>\nMicrofilter\n</font><br>\n微量过滤器\n
Microhardness Tester	<font size=5>\nMicrohardness Tester\n</font><br>\n显微硬度试验器\n
Micro Heterogeneity	<font size=5>\nMicro Heterogeneity\n</font><br>\n微异质性\n
Microincineration	<font size=5>\nMicroincineration\n</font><br>\n微量灰化\n
Microlite	<font size=5>\nMicrolite\n</font><br>\n细晶石\n
Micromanipulator	<font size=5>\nMicromanipulator\n</font><br>\n显微操阻备\n
Micrometer	<font size=5>\nMicrometer\n</font><br>\n测微计\n
Micrometer Eyepiece	<font size=5>\nMicrometer Eyepiece\n</font><br>\n目镜测微计\n
Micron	<font size=5>\nMicron\n</font><br>\n微米\n
Micronitrometer	<font size=5>\nMicronitrometer\n</font><br>\n微氮量计\n
Micronutrient	<font size=5>\nMicronutrient\n</font><br>\n微量养料\n
Microorganism	<font size=5>\nMicroorganism\n</font><br>\n微生物\n
Microphotometer	<font size=5>\nMicrophotometer\n</font><br>\n显微光度计\n
Micropipet	<font size=5>\nMicropipet\n</font><br>\n微量吸移管\n
Micropore	<font size=5>\nMicropore\n</font><br>\n微孔\n
Microporous Barrier	<font size=5>\nMicroporous Barrier\n</font><br>\n微孔障碍\n
Micro Porous Rubber	<font size=5>\nMicro Porous Rubber\n</font><br>\n微孔泡沫胶\n
Microsample	<font size=5>\nMicrosample\n</font><br>\n微量试样\n
Microscope	<font size=5>\nMicroscope\n</font><br>\n显微镜\n
Microscopic Analysis	<font size=5>\nMicroscopic Analysis\n</font><br>\n显微镜分析\n
Microscopy	<font size=5>\nMicroscopy\n</font><br>\n显微镜检查法\n
Microspectroscope	<font size=5>\nMicrospectroscope\n</font><br>\n显微分光镜\n
Microstate	<font size=5>\nMicrostate\n</font><br>\n微观状态\n
Microstructure	<font size=5>\nMicrostructure\n</font><br>\n微结构\n
Microthrowing Power	<font size=5>\nMicrothrowing Power\n</font><br>\n微量布散能力\n
Microtitration	<font size=5>\nMicrotitration\n</font><br>\n微量滴定\n
Microtome	<font size=5>\nMicrotome\n</font><br>\n切片机\n
Middle Oil	<font size=5>\nMiddle Oil\n</font><br>\n中油\n
Middle Tone	<font size=5>\nMiddle Tone\n</font><br>\n中间色调\n
Migration	<font size=5>\nMigration\n</font><br>\n迁移\n
Migration Area	<font size=5>\nMigration Area\n</font><br>\n迁移面积\n
Migration Current	<font size=5>\nMigration Current\n</font><br>\n迁移电流\n
Migration Potential	<font size=5>\nMigration Potential\n</font><br>\n迁移电位\n
Milk	<font size=5>\nMilk\n</font><br>\n牛奶\n
Milk Fat	<font size=5>\nMilk Fat\n</font><br>\n乳脂\n
Milk Of Lime	<font size=5>\nMilk Of Lime\n</font><br>\n石灰乳\n
Milk Of Sulfur	<font size=5>\nMilk Of Sulfur\n</font><br>\n乳硫\n
Milk Powder	<font size=5>\nMilk Powder\n</font><br>\n奶粉\n
Milk Sugar	<font size=5>\nMilk Sugar\n</font><br>\n乳糖\n
Milky Glass	<font size=5>\nMilky Glass\n</font><br>\n乳白玻璃\n
Mill	<font size=5>\nMill\n</font><br>\n磨粉机\n
Mill Addition	<font size=5>\nMill Addition\n</font><br>\n球磨机添加物料\n
Milled Rubber	<font size=5>\nMilled Rubber\n</font><br>\n捏炼橡胶\n
Milled Soap	<font size=5>\nMilled Soap\n</font><br>\n研制皂\n
Mill Grease	<font size=5>\nMill Grease\n</font><br>\n磨机用润滑脂\n
Milliequivalent	<font size=5>\nMilliequivalent\n</font><br>\n毫当量\n
Millimol	<font size=5>\nMillimol\n</font><br>\n毫克分子\n
Milling	<font size=5>\nMilling\n</font><br>\n捏炼\n
Milling Machine	<font size=5>\nMilling Machine\n</font><br>\n捏炼机\n
Milling Ore	<font size=5>\nMilling Ore\n</font><br>\n进厂矿石\n
Millon's Base	<font size=5>\nMillon's Base\n</font><br>\n米隆碱\n
Millon's Reagent	<font size=5>\nMillon's Reagent\n</font><br>\n米隆试剂\n
Mine Air	<font size=5>\nMine Air\n</font><br>\n矿井内空气\n
Mine Fire	<font size=5>\nMine Fire\n</font><br>\n矿井内火灾\n
Mine Gas	<font size=5>\nMine Gas\n</font><br>\n矿井内气体\n
Mineral	<font size=5>\nMineral\n</font><br>\n矿物\n
Mineral Acid	<font size=5>\nMineral Acid\n</font><br>\n无机酸\n
Mineral Analysis	<font size=5>\nMineral Analysis\n</font><br>\n矿物分析\n
Mineral Bath	<font size=5>\nMineral Bath\n</font><br>\n矿泉浴\n
Mineral Black	<font size=5>\nMineral Black\n</font><br>\n矿物黑\n
Mineral Charcoal	<font size=5>\nMineral Charcoal\n</font><br>\n天然木炭\n
Mineral Chemistry	<font size=5>\nMineral Chemistry\n</font><br>\n矿物化学\n
Mineral Colloid	<font size=5>\nMineral Colloid\n</font><br>\n无机胶体\n
Mineral Colza Oil	<font size=5>\nMineral Colza Oil\n</font><br>\n重质灯油\n
Mineral Deposit	<font size=5>\nMineral Deposit\n</font><br>\n矿床\n
Mineral Dressing	<font size=5>\nMineral Dressing\n</font><br>\n选矿\n
Mineral Dye	<font size=5>\nMineral Dye\n</font><br>\n矿物染料\n
Mineral Fertilizer	<font size=5>\nMineral Fertilizer\n</font><br>\n无机肥料\n
Mineral Fiber	<font size=5>\nMineral Fiber\n</font><br>\n矿物纤维\n
Mineralizer	<font size=5>\nMineralizer\n</font><br>\n矿化剂\n
Mineralogy	<font size=5>\nMineralogy\n</font><br>\n矿物学\n
Mineral Oil	<font size=5>\nMineral Oil\n</font><br>\n矿物油\n
Mineral Pigment	<font size=5>\nMineral Pigment\n</font><br>\n矿物性颜料\n
Mineral Processing	<font size=5>\nMineral Processing\n</font><br>\n选矿\n
Mineral Resin	<font size=5>\nMineral Resin\n</font><br>\n矿物尸\n
Mineral Rubber	<font size=5>\nMineral Rubber\n</font><br>\n矿物胶\n
Mineral Seal Oil	<font size=5>\nMineral Seal Oil\n</font><br>\n重质灯油\n
Mineral Spirit	<font size=5>\nMineral Spirit\n</font><br>\n石油醚\n
Mineral Substance	<font size=5>\nMineral Substance\n</font><br>\n矿物质\n
Mineral Water	<font size=5>\nMineral Water\n</font><br>\n矿泉水\n
Mineral Wax	<font size=5>\nMineral Wax\n</font><br>\n木炭\n
Mineral Wool	<font size=5>\nMineral Wool\n</font><br>\n矿棉\n
Mine Water	<font size=5>\nMine Water\n</font><br>\n矿井水\n
Minimum	<font size=5>\nMinimum\n</font><br>\n最小\n
Minimum Content	<font size=5>\nMinimum Content\n</font><br>\n最小含量\n
Minimum Deviation	<font size=5>\nMinimum Deviation\n</font><br>\n最小偏差\n
Minimum Number Of Theoretical Plates	<font size=5>\nMinimum Number Of Theoretical Plates\n</font><br>\n最小理论板数\n
Minimum Reflux Ratio	<font size=5>\nMinimum Reflux Ratio\n</font><br>\n最小回寥\n
Minimum Thermometer	<font size=5>\nMinimum Thermometer\n</font><br>\n最低温度计\n
Minimum Weight	<font size=5>\nMinimum Weight\n</font><br>\n最低重量\n
Minium	<font size=5>\nMinium\n</font><br>\n铅丹\n
Minivalence	<font size=5>\nMinivalence\n</font><br>\n最小化合价\n
Minor	<font size=5>\nMinor\n</font><br>\n子式\n
Mirabilite	<font size=5>\nMirabilite\n</font><br>\n芒硝;芒硝\n
Mirbane Oil	<font size=5>\nMirbane Oil\n</font><br>\n硝基苯\n
Mirror Glass	<font size=5>\nMirror Glass\n</font><br>\n镜玻璃\n
Mirror Image Isomer	<font size=5>\nMirror Image Isomer\n</font><br>\n镜像异构体\n
Mirror Point	<font size=5>\nMirror Point\n</font><br>\n镜像点\n
Mirror Symmetry	<font size=5>\nMirror Symmetry\n</font><br>\n镜面对称\n
Miscibility	<font size=5>\nMiscibility\n</font><br>\n混性\n
Miscibility Gap	<font size=5>\nMiscibility Gap\n</font><br>\n混溶隙\n
Miscible Solvent	<font size=5>\nMiscible Solvent\n</font><br>\n可混溶剂\n
Misfire	<font size=5>\nMisfire\n</font><br>\n拒爆\n
Mispickel	<font size=5>\nMispickel\n</font><br>\n砷黄铁矿\n
Mist	<font size=5>\nMist\n</font><br>\n细雾\n
Mitomycin	<font size=5>\nMitomycin\n</font><br>\n丝裂霉素\n
Mixed Acid	<font size=5>\nMixed Acid\n</font><br>\n混酸\n
Mixed Base Crude Oil	<font size=5>\nMixed Base Crude Oil\n</font><br>\n混合基原油\n
Mixed Bed System	<font size=5>\nMixed Bed System\n</font><br>\n混合床系统\n
Mixed Complex	<font size=5>\nMixed Complex\n</font><br>\n混合络合物\n
Mixed Cryoglobulin	<font size=5>\nMixed Cryoglobulin\n</font><br>\n混合冷沉球蛋白\n
Mixed Crystal	<font size=5>\nMixed Crystal\n</font><br>\n混合晶体\n
Mixed Fertilizer	<font size=5>\nMixed Fertilizer\n</font><br>\n混合肥料\n
Mixed Gas	<font size=5>\nMixed Gas\n</font><br>\n混合气体\n
Mixed Glyceride	<font size=5>\nMixed Glyceride\n</font><br>\n混酸甘油酯\n
Mixed Indicator	<font size=5>\nMixed Indicator\n</font><br>\n混合指示剂\n
Mixed Melting Point	<font size=5>\nMixed Melting Point\n</font><br>\n混合熔点\n
Mixed Oxide	<font size=5>\nMixed Oxide\n</font><br>\n混合氧化物\n
Mixed Paint	<font size=5>\nMixed Paint\n</font><br>\n低涂料\n
Mixed Solvent	<font size=5>\nMixed Solvent\n</font><br>\n混合溶剂\n
Mixed Valence	<font size=5>\nMixed Valence\n</font><br>\n混合原子价\n
Mixed Valence Complex	<font size=5>\nMixed Valence Complex\n</font><br>\n混合原子价复合体\n
Mixer	<font size=5>\nMixer\n</font><br>\n混合机\n
Mixing	<font size=5>\nMixing\n</font><br>\n混合\n
Mixing Machine	<font size=5>\nMixing Machine\n</font><br>\n混合机\n
Mixing Mill	<font size=5>\nMixing Mill\n</font><br>\n混合辊\n
Mixing Proportion	<font size=5>\nMixing Proportion\n</font><br>\n混合比\n
Mixing Ratio	<font size=5>\nMixing Ratio\n</font><br>\n混合比\n
Mix Spinning	<font size=5>\nMix Spinning\n</font><br>\n混合纺纱\n
Mixture	<font size=5>\nMixture\n</font><br>\n混合物\n
Mixture Of Gasoline And Alcohol	<font size=5>\nMixture Of Gasoline And Alcohol\n</font><br>\n汽油酒精混合剂\n
Mobile Equilibrium	<font size=5>\nMobile Equilibrium\n</font><br>\n怜平衡\n
Mobile Oil	<font size=5>\nMobile Oil\n</font><br>\n猎油\n
Mobile Phase	<font size=5>\nMobile Phase\n</font><br>\n怜相\n
Mobility	<font size=5>\nMobility\n</font><br>\n迁移率\n
Mobilometer	<font size=5>\nMobilometer\n</font><br>\n淌度计\n
Model	<font size=5>\nModel\n</font><br>\n型\n
Model Enzyme	<font size=5>\nModel Enzyme\n</font><br>\n模型酵素\n
Model Research	<font size=5>\nModel Research\n</font><br>\n模型研究\n
Moderation	<font size=5>\nModeration\n</font><br>\n减速\n
Moderator	<font size=5>\nModerator\n</font><br>\n减速剂\n
Moderator Coolant	<font size=5>\nModerator Coolant\n</font><br>\n减速冷却剂\n
Moderator Lattice	<font size=5>\nModerator Lattice\n</font><br>\n慢化剂栅格\n
Modification	<font size=5>\nModification\n</font><br>\n变态\n
Modified Milk Powder	<font size=5>\nModified Milk Powder\n</font><br>\n改性牛奶粉\n
Modified Rayon	<font size=5>\nModified Rayon\n</font><br>\n变性人造纤维\n
Modified Resin	<font size=5>\nModified Resin\n</font><br>\n改良尸\n
Modified Wood	<font size=5>\nModified Wood\n</font><br>\n改性木材\n
Modifier	<font size=5>\nModifier\n</font><br>\n改良剂\n
Modifying Agent	<font size=5>\nModifying Agent\n</font><br>\n改良剂\n
Modulation	<font size=5>\nModulation\n</font><br>\n灯\n
Modulus	<font size=5>\nModulus\n</font><br>\n模数\n
Modulus Of Compression	<font size=5>\nModulus Of Compression\n</font><br>\n压缩模量\n
Modulus Of Elasticity	<font size=5>\nModulus Of Elasticity\n</font><br>\n弹性系数\n
Modulus Of Rupture	<font size=5>\nModulus Of Rupture\n</font><br>\n裂断模量\n
Mohr Pipet	<font size=5>\nMohr Pipet\n</font><br>\n莫尔吸量管\n
Mohr's Salt	<font size=5>\nMohr's Salt\n</font><br>\n莫尔盐\n
Mohs Scale	<font size=5>\nMohs Scale\n</font><br>\n莫氏硬度\n
Moiety	<font size=5>\nMoiety\n</font><br>\n一部分\n
Moist Adiabatic Change	<font size=5>\nMoist Adiabatic Change\n</font><br>\n湿绝热变化\n
Moist Air	<font size=5>\nMoist Air\n</font><br>\n湿空气\n
Moistener	<font size=5>\nMoistener\n</font><br>\n润湿器\n
Moistening Chamber	<font size=5>\nMoistening Chamber\n</font><br>\n给湿室\n
Moisture	<font size=5>\nMoisture\n</font><br>\n湿气\n
Moisture Absorption	<font size=5>\nMoisture Absorption\n</font><br>\n吸潮\n
Moisture Ash Free Coal	<font size=5>\nMoisture Ash Free Coal\n</font><br>\n无水无灰煤\n
Moisture Barrier	<font size=5>\nMoisture Barrier\n</font><br>\n防潮衬层\n
Moisture Content	<font size=5>\nMoisture Content\n</font><br>\n含水量\n
Moisture Equivalent	<font size=5>\nMoisture Equivalent\n</font><br>\n含水当量\n
Moisture Permeability	<font size=5>\nMoisture Permeability\n</font><br>\n透湿性\n
Mol	<font size=5>\nMol\n</font><br>\n克分子\n
Molal Solution	<font size=5>\nMolal Solution\n</font><br>\n克分子溶液\n
Molar Absorption Coeffcient	<font size=5>\nMolar Absorption Coeffcient\n</font><br>\n摩尔吸光系数\n
Molar Concentration	<font size=5>\nMolar Concentration\n</font><br>\n克分子浓度\n
Molar Conductivity	<font size=5>\nMolar Conductivity\n</font><br>\n克分子电导率\n
Molar Depression	<font size=5>\nMolar Depression\n</font><br>\n分子降低\n
Molar Depression Of Freezing Point	<font size=5>\nMolar Depression Of Freezing Point\n</font><br>\n克分子冰点降低\n
Molar Elevation	<font size=5>\nMolar Elevation\n</font><br>\n克分子升高\n
Molar Elevation Of Boiling Point	<font size=5>\nMolar Elevation Of Boiling Point\n</font><br>\n摩尔沸点升高\n
Molar Extinction Coefficient	<font size=5>\nMolar Extinction Coefficient\n</font><br>\n克分子消光系数\n
Molar Fraction	<font size=5>\nMolar Fraction\n</font><br>\n克分子分数\n
Molar Heat Capacity	<font size=5>\nMolar Heat Capacity\n</font><br>\n克分子热容\n
Molarity	<font size=5>\nMolarity\n</font><br>\n克分子浓度\n
Molar Polarization	<font size=5>\nMolar Polarization\n</font><br>\n分子极化\n
Molar Refraction	<font size=5>\nMolar Refraction\n</font><br>\n分子折射\n
Molar Rotation	<font size=5>\nMolar Rotation\n</font><br>\n克分子旋光度\n
Molar Rotatory Power	<font size=5>\nMolar Rotatory Power\n</font><br>\n克分子旋光度\n
Molar Solution	<font size=5>\nMolar Solution\n</font><br>\n摩尔混液\n
Molar Specific Heat	<font size=5>\nMolar Specific Heat\n</font><br>\n摩尔比热\n
Molar Susceptibility	<font size=5>\nMolar Susceptibility\n</font><br>\n摩尔磁化率\n
Molar Volume	<font size=5>\nMolar Volume\n</font><br>\n克分子体积\n
Molar Weight	<font size=5>\nMolar Weight\n</font><br>\n分子量\n
Molasses	<font size=5>\nMolasses\n</font><br>\n废蜜\n
Mold	<font size=5>\nMold\n</font><br>\n霉菌\n
Mold Cure	<font size=5>\nMold Cure\n</font><br>\n模塑硫化\n
Molded Laminate	<font size=5>\nMolded Laminate\n</font><br>\n模制品层压\n
Mold Goods	<font size=5>\nMold Goods\n</font><br>\n模制品\n
Molding	<font size=5>\nMolding\n</font><br>\n模塑硫化\n
Molding Plaster	<font size=5>\nMolding Plaster\n</font><br>\n塑造石膏\n
Molding Powder	<font size=5>\nMolding Powder\n</font><br>\n压塑粉\n
Molding Press	<font size=5>\nMolding Press\n</font><br>\n造型机\n
Moldings	<font size=5>\nMoldings\n</font><br>\n模制品\n
Molding Temperature	<font size=5>\nMolding Temperature\n</font><br>\n造型温度\n
Mold Lubricant	<font size=5>\nMold Lubricant\n</font><br>\n脱模剂\n
Mold Releasing Agent	<font size=5>\nMold Releasing Agent\n</font><br>\n脱模剂\n
Mold Shrinkage	<font size=5>\nMold Shrinkage\n</font><br>\n成型收缩\n
Mole	<font size=5>\nMole\n</font><br>\n摩尔\n
Molecular Adsorption	<font size=5>\nMolecular Adsorption\n</font><br>\n分子吸附\n
Molecular Arrangement	<font size=5>\nMolecular Arrangement\n</font><br>\n分子排布\n
Molecular Association	<font size=5>\nMolecular Association\n</font><br>\n分子缔合\n
Molecular Asymmetry	<font size=5>\nMolecular Asymmetry\n</font><br>\n分子不对称\n
Molecular Attraction	<font size=5>\nMolecular Attraction\n</font><br>\n分子引力\n
Molecular Beam	<font size=5>\nMolecular Beam\n</font><br>\n分子束\n
Molecular Collision	<font size=5>\nMolecular Collision\n</font><br>\n分子碰撞\n
Molecular Colloid	<font size=5>\nMolecular Colloid\n</font><br>\n分子胶体\n
Molecular Compound	<font size=5>\nMolecular Compound\n</font><br>\n分子化合物\n
Molecular Crystal	<font size=5>\nMolecular Crystal\n</font><br>\n分子晶体\n
Molecular Designing	<font size=5>\nMolecular Designing\n</font><br>\n分子设计\n
